isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,AGO,Angola,XX,N,2015,2008.5,X,73.83312,3.768034,126.1005,0.6195532,0.2757078,0.1548694,0.4275031,0.4271552,90.87667,0.3116315,-1,27.859305,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
0,1,ALB,Albania,XX,N,1981,1996,X,58.16801,2.025577,212.1173,0.00920669,0.001435487,0.0004201266,0.001738987,0.2701034,186.4206,0.1191043,-1,2.726056,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,1,ALB,Albania,XX,N,1984,1996,X,58.16801,2.025577,204.6317,0.01013405,0.001720314,0.0005004559,0.002080472,0.2701034,179.8418,0.1191043,-1,2.904429,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,1,ALB,Albania,XX,N,1987,1996,X,58.16801,2.025577,205.5995,0.009605859,0.001682444,0.0004890708,0.002034575,0.2701034,180.6924,0.1191043,-1,3.083605,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,1,ALB,Albania,XX,N,1990,1996,X,58.16801,2.025577,188.8699,0.01841943,0.002657399,0.0007448057,0.003188896,0.2701034,165.9894,0.1191043,-1,3.286542,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,1,ALB,Albania,XX,N,1993,1996,X,58.16801,2.025577,137.741,0.0782996,0.01414458,0.004020945,0.016933,0.2701034,121.0545,0.1191043,-1,3.227287,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
0,1,ALB,Albania,XX,N,1996,1996,X,58.16801,2.025577,187.8427,0.01897988,0.002744825,0.0007660238,0.003291051,0.2701034,165.0867,0.1191043,-1,3.168033,ALB_N1996X,0.03863,0.05289,0.06379,0.07322,0.0838,0.09355,0.1082,0.1247,0.149,0.2122
1,1,ALB,Albania,XX,N,1999,,X,58.16801,2.025577,189.4287,0.02429539,0.003915028,0.001132264,0.004755666,-1,-1,-1,-1,3.108778,ALB_N1996X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,ALB,Albania,XX,N,2002,2002,X,58.16801,2.025577,191.988,0.02941709,0.004885301,0.001435161,0.005975088,0.3173898,158.363,0.1648116,-1,3.05101,ALB_N2002X,0.03494,0.04859,0.05842,0.06738,0.07653,0.08839,0.1023,0.1198,0.1493,0.2544
0,1,ALB,Albania,XX,N,2005,2005,X,58.16801,2.025577,217.0335,0.01701671,0.002552013,0.0006806117,0.003002961,0.3059566,184.6848,0.1544128,-1,3.011487,ALB_N2005X,0.03483,0.0492,0.05977,0.06921,0.07988,0.09037,0.1037,0.1213,0.1483,0.2434
0,1,ALB,Albania,XX,N,2008,2008,X,58.16801,2.025577,237.5353,0.005056251,0.0009062215,0.0002584303,0.001075536,0.2998467,198.7757,0.1488934,-1,2.947314,ALB_N2008X,0.03734,0.05137,0.06088,0.06984,0.07912,0.08924,0.103,0.1193,0.1454,0.2446
1,1,ALB,Albania,XX,N,2010,,X,58.16801,2.025577,233.2904,0.01076172,0.002248813,0.0007407166,0.002793137,-1,-1,-1,-1,2.913021,ALB_N2008X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,ALB,Albania,XX,N,2011,,X,58.16801,2.025577,231.2863,0.01272437,0.002523507,0.0008448221,0.003149449,-1,-1,-1,-1,2.905195,ALB_N2008X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,ALB,Albania,XX,N,2012,2012,X,58.16801,2.025577,225.2692,0.01272502,0.002764633,0.0009451358,0.003467421,0.2896048,195.0467,0.1384171,-1,2.900401,ALB_N2012X,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
0,1,ALB,Albania,XX,N,2013,2012,X,58.16801,2.025577,234.2123,0.01138562,0.002397002,0.000812696,0.002999411,0.2896048,202.79,0.1384171,-1,2.895092,ALB_N2012X,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
0,1,ALB,Albania,XX,N,2015,2012,X,58.16801,2.025577,253.6938,0.008497544,0.001742239,0.0005958701,0.002180435,0.2896048,219.6579,0.1384171,-1,2.880703,ALB_N2012X,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
0,0,ARM,Armenia,XX,N,1981,1996,Y,183.7796,3.4247,256.9512,0.2315889,0.06746412,0.02789968,0.08996382,0.4441862,177.1371,0.3354787,0.3826619,3.148092,ARM_N1996Y,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,0,ARM,Armenia,XX,N,1984,1996,Y,183.7796,3.4247,273.9207,0.2050489,0.05750039,0.02317864,0.07505433,0.4441862,188.8355,0.3354787,0.3826619,3.285595,ARM_N1996Y,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,0,ARM,Armenia,XX,N,1987,1996,Y,183.7796,3.4247,263.4109,0.2211064,0.06346976,0.02598692,0.08435844,0.4441862,181.5902,0.3354787,0.3826619,3.451942,ARM_N1996Y,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,0,ARM,Armenia,XX,N,1990,1996,Y,183.7796,3.4247,260.1811,0.2262873,0.06543441,0.02692444,0.08607397,0.4441862,179.3636,0.3354787,0.3826619,3.538165,ARM_N1996Y,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,0,ARM,Armenia,XX,N,1993,1996,Y,183.7796,3.4247,128.29,0.5879307,0.245807,0.1305639,0.372414,0.4441862,88.44056,0.3354787,0.3826619,3.363098,ARM_N1996Y,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,0,ARM,Armenia,XX,N,1996,1996,Y,183.7796,3.4247,162.4389,0.4570646,0.1709208,0.08460945,0.2457012,0.4441862,111.9821,0.3354787,0.3826619,3.168215,ARM_N1996Y,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522
0,1,ARM,Armenia,XX,N,1999,1999,X,183.7796,3.4247,122.4167,0.5687284,0.1941239,0.08768264,0.2670429,0.3621972,94.23082,0.21843,-1,3.089017,ARM_N1999X,0.03043,0.04518,0.05403,0.06192,0.07164,0.08272,0.09658,0.1158,0.1455,0.2963
0,1,ARM,Armenia,XX,N,2002,2002,X,183.7796,3.4247,122.0151,0.574306,0.1825623,0.07841325,0.2459988,0.3477967,94.93779,0.2000021,-1,3.033897,ARM_N2002X,0.03336,0.0471,0.05603,0.0643,0.07312,0.08285,0.09526,0.1129,0.1451,0.29
0,1,ARM,Armenia,XX,N,2005,2005,X,183.7796,3.4247,171.3197,0.3236236,0.07687405,0.02795538,0.0984031,0.3599235,130.5109,0.217763,-1,2.981259,ARM_N2005X,0.03334,0.04719,0.05535,0.06281,0.07127,0.08103,0.09263,0.1096,0.139,0.3078
0,1,ARM,Armenia,XX,N,2008,2008,X,183.7796,3.4247,188.2736,0.1797634,0.03542961,0.01143018,0.04385605,0.2918814,159.8224,0.1397946,-1,2.90822,ARM_N2008X,0.03854,0.05267,0.0608,0.06992,0.0795,0.09063,0.1041,0.1203,0.1466,0.2369
0,1,ARM,Armenia,XX,N,2010,2010,X,183.7796,3.4247,170.8403,0.2529511,0.05267439,0.01655613,0.0643758,0.2999258,142.119,0.1487553,-1,2.877311,ARM_N2010X,0.0389,0.05214,0.06075,0.06974,0.07907,0.0886,0.1004,0.1166,0.1435,0.2503
0,1,ARM,Armenia,XX,N,2011,2011,X,183.7796,3.4247,174.3994,0.234505,0.049457,0.01605472,0.06093617,0.2935295,148.3613,0.1415771,-1,2.875581,ARM_N2011X,0.0383,0.05207,0.0614,0.07065,0.07988,0.09002,0.1024,0.1197,0.1459,0.2397
0,1,ARM,Armenia,XX,N,2012,2012,X,183.7796,3.4247,180.6668,0.2141221,0.04414985,0.01412868,0.05424574,0.2960226,152.9493,0.1451349,-1,2.881922,ARM_N2012X,0.03791,0.05203,0.06113,0.07067,0.08014,0.09054,0.1023,0.1179,0.142,0.2454
0,1,ARM,Armenia,XX,N,2013,2013,X,183.7796,3.4247,187.4612,0.1972588,0.04478905,0.01584283,0.05690665,0.3057966,158.3366,0.1565597,-1,2.893509,ARM_N2013X,0.03564,0.0506,0.05979,0.06904,0.07927,0.08988,0.1026,0.1193,0.1471,0.2469
0,1,ARM,Armenia,XX,N,2015,2015,X,183.7796,3.4247,206.1151,0.1703355,0.03808167,0.01331574,0.04805836,0.3235677,170.5916,0.1763798,-1,2.91695,ARM_N2015X,0.03378,0.04844,0.0577,0.06795,0.07811,0.0892,0.1015,0.1164,0.1395,0.2673
0,1,AZE,Azerbaijan,XX,N,1981,1995,X,0.3294187,3.468975,445.7032,0.03294844,0.009831208,0.004760693,0.01464775,0.3465029,363.2906,0.2078099,-1,6.24932,AZE_N1995X,0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
0,1,AZE,Azerbaijan,XX,N,1984,1995,X,0.3294187,3.468975,497.4506,0.02590372,0.007579857,0.003795238,0.01144635,0.3465029,405.4697,0.2078099,-1,6.557585,AZE_N1995X,0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
0,1,AZE,Azerbaijan,XX,N,1987,1995,X,0.3294187,3.468975,535.2148,0.02067529,0.006378667,0.003295152,0.009736343,0.3465029,436.2512,0.2078099,-1,6.8935,AZE_N1995X,0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
0,1,AZE,Azerbaijan,XX,N,1990,1995,X,0.3294187,3.468975,439.9482,0.03294844,0.0101297,0.004894645,0.01507595,0.3465029,358.5998,0.2078099,-1,7.159,AZE_N1995X,0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
0,1,AZE,Azerbaijan,XX,N,1993,1995,X,0.3294187,3.468975,246.7248,0.1388498,0.03943933,0.01785651,0.05658021,0.3465029,201.1043,0.2078099,-1,7.495,AZE_N1995X,0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
1,1,AZE,Azerbaijan,XX,N,1996,,X,0.3294187,3.468975,175.8026,0.3038511,0.09017299,0.03990529,0.1263615,-1,-1,-1,-1,7.763,AZE_N1995X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,AZE,Azerbaijan,XX,N,1999,,X,0.3294187,3.468975,197.2029,0.2480673,0.06562014,0.02591382,0.08699988,-1,-1,-1,-1,7.98275,AZE_N1995X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,AZE,Azerbaijan,XX,N,2002,2002,X,0.3294187,3.468975,264.3415,0.01198132,0.001407865,0.0003357599,0.001625669,0.2527767,225.3494,0.1062966,-1,8.17195,AZE_N2002X,0.04838,0.06092,0.06833,0.07509,0.08185,0.08892,0.09808,0.1117,0.1349,0.2319
0,1,AZE,Azerbaijan,XX,N,2005,2005,X,0.3294187,3.468975,315.138,0.001444742,8.029509e-05,8.442977e-06,8.494705e-05,0.2655491,261.3297,0.1164948,-1,8.39185,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,1,AZE,Azerbaijan,XX,N,2008,2005,X,0.3294187,3.468975,517.9765,0,0,0,0,0.2655491,429.5345,0.1164948,-1,8.7634,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,1,AZE,Azerbaijan,XX,N,2010,2005,X,0.3294187,3.468975,453.5098,0,0,0,0,0.2655491,376.0752,0.1164948,-1,9.054332,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,1,AZE,Azerbaijan,XX,N,2011,2005,X,0.3294187,3.468975,554.6486,0,0,0,0,0.2655491,459.945,0.1164948,-1,9.173082,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,1,AZE,Azerbaijan,XX,N,2012,2005,X,0.3294187,3.468975,559.3686,0,0,0,0,0.2655491,463.8591,0.1164948,-1,9.295784,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,1,AZE,Azerbaijan,XX,N,2013,2005,X,0.3294187,3.468975,649.448,0,0,0,0,0.2655491,538.5578,0.1164948,-1,9.416801,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,1,AZE,Azerbaijan,XX,N,2015,2005,X,0.3294187,3.468975,653.584,0,0,0,0,0.2655491,541.9877,0.1164948,-1,9.649341,AZE_N2005X,0.04847,0.05927,0.06624,0.0729,0.07939,0.08707,0.09743,0.1112,0.1362,0.2418
0,0,BDI,Burundi,XX,N,1981,1992,X,487.3273,1.76213,39.21951,0.8163287,0.3731898,0.2055233,0.5751076,0.3333381,31.85375,0.1824366,0.2822712,4.223195,BDI_N1992X,0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
0,0,BDI,Burundi,XX,N,1984,1992,X,487.3273,1.76213,37.24108,0.8373137,0.3960866,0.2231587,0.6156998,0.3333381,30.24689,0.1824366,0.2822712,4.571292,BDI_N1992X,0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
0,0,BDI,Burundi,XX,N,1987,1992,X,487.3273,1.76213,41.56141,0.7902714,0.3474857,0.1864522,0.5257106,0.3333381,33.75582,0.1824366,0.2822712,4.987736,BDI_N1992X,0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
0,0,BDI,Burundi,XX,N,1990,1992,X,487.3273,1.76213,42.17361,0.7832699,0.3410146,0.1817688,0.5159344,0.3333381,34.25305,0.1824366,0.2822712,5.415415,BDI_N1992X,0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
1,1,BDI,Burundi,XX,N,1993,,X,487.3273,1.76213,41.80762,0.7878748,0.3524665,0.1934795,0.5441518,-1,-1,-1,-1,5.771398,BDI_N1992X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,1996,,X,487.3273,1.76213,39.32202,0.8123862,0.4005595,0.2396284,0.6627727,-1,-1,-1,-1,6.041112,BDI_N1992X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,1999,,X,487.3273,1.76213,39.53335,0.80904,0.4138187,0.2565571,0.7078858,-1,-1,-1,-1,6.27894,BDI_N1998X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2002,,X,487.3273,1.76213,43.35803,0.7781442,0.360368,0.2056334,0.5770994,-1,-1,-1,-1,6.741569,BDI_N1998X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2005,,X,487.3273,1.76213,45.3601,0.762972,0.3237943,0.16592,0.4729696,-1,-1,-1,-1,7.423289,BDI_N1998X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2008,,X,487.3273,1.76213,48.76165,0.7342421,0.2939854,0.1436749,0.4147961,-1,-1,-1,-1,8.212264,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2010,,X,487.3273,1.76213,50.52182,0.7158522,0.2871735,0.1426428,0.4105027,-1,-1,-1,-1,8.76693,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2011,,X,487.3273,1.76213,51.20917,0.7085451,0.2858117,0.1434965,0.4115737,-1,-1,-1,-1,9.043508,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2012,,X,487.3273,1.76213,52.30994,0.6972521,0.2813475,0.1422524,0.4073061,-1,-1,-1,-1,9.31971,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,XX,N,2013,,X,487.3273,1.76213,53.84455,0.6842581,0.2739664,0.1390831,0.3980114,-1,-1,-1,-1,9.600186,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,BDI,Burundi,XX,N,2015,2013.5,X,487.3273,1.76213,50.93623,0.712905,0.2990587,0.1568487,0.4420993,0.3862482,37.8252,0.2467371,-1,10.19927,BDI_N2013X,0.02763,0.04097,0.05043,0.05964,0.0695,0.08006,0.09381,0.1146,0.1531,0.3102
0,1,BEN,Benin,XX,N,1981,2003,X,224.9172,0.9336992,69.14715,0.1500512,0.03334208,0.0114519,0.04177411,0.385782,51.70868,0.2463929,-1,3.820128,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,1984,2003,X,224.9172,0.9336992,67.06985,0.162503,0.03705549,0.01285722,0.04656055,0.385782,50.15527,0.2463929,-1,4.156819,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,1987,2003,X,224.9172,0.9336992,66.52447,0.1665359,0.03809552,0.01325757,0.04790736,0.385782,49.74743,0.2463929,-1,4.535263,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,1990,2003,X,224.9172,0.9336992,66.34129,0.1678101,0.03845029,0.01339514,0.04836767,0.385782,49.61044,0.2463929,-1,4.978496,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,1993,2003,X,224.9172,0.9336992,67.93171,0.1582542,0.03547279,0.01225177,0.04451485,0.385782,50.79977,0.2463929,-1,5.521763,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,1996,2003,X,224.9172,0.9336992,69.46929,0.1488781,0.03280114,0.01124999,0.04107945,0.385782,51.94958,0.2463929,-1,6.094259,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,1999,2003,X,224.9172,0.9336992,73.56304,0.1232729,0.0266798,0.009011439,0.03326091,0.385782,55.01091,0.2463929,-1,6.664098,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,BEN,Benin,XX,N,2002,2003,X,224.9172,0.9336992,78.40688,0.1004293,0.02109733,0.006991745,0.02616074,0.385782,58.63317,0.2463929,-1,7.295394,BEN_N2003X,0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
1,1,BEN,Benin,XX,N,2005,,X,224.9172,0.9336992,78.72796,0.1109762,0.02419501,0.008173974,0.03015807,-1,-1,-1,-1,7.982225,BEN_N2003X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BEN,Benin,XX,N,2008,,X,224.9172,0.9336992,83.0946,0.1107822,0.02432605,0.008253242,0.03034988,-1,-1,-1,-1,8.696916,BEN_N2003X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BEN,Benin,XX,N,2010,,X,224.9172,0.9336992,81.90161,0.1276864,0.02858488,0.009833793,0.03580083,-1,-1,-1,-1,9.199259,BEN_N2003X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BEN,Benin,XX,N,2011,,X,224.9172,0.9336992,81.98272,0.1334425,0.03000994,0.01036339,0.03762484,-1,-1,-1,-1,9.460802,BEN_N2003X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BEN,Benin,XX,N,2012,,X,224.9172,0.9336992,82.45341,0.1445912,0.04378962,0.02066273,0.06346549,-1,-1,-1,-1,9.72916,BEN_N2011X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BEN,Benin,XX,N,2013,,X,224.9172,0.9336992,82.5448,0.1620955,0.06438532,0.03602993,0.1020379,-1,-1,-1,-1,10.004451,BEN_N2011X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,BEN,Benin,XX,N,2015,2015,X,224.9172,0.9336992,82.60576,0.1972998,0.1057324,0.06680917,0.1793571,0.4775591,58.40712,0.4460353,-1,10.575952,BEN_N2015X,0.01003,0.02238,0.04268,0.05366,0.06463,0.0769,0.09329,0.1151,0.1451,0.3762
0,1,BFA,Burkina Faso,XX,N,1981,1994.25,X,222.242,0.9918973,36.65519,0.6577001,0.285165,0.1506387,0.4218731,0.4807249,21.98715,0.3852556,-1,6.98516,BFA_N1994X,0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947
0,1,BFA,Burkina Faso,XX,N,1984,1994.25,X,222.242,0.9918973,36.71231,0.6570254,0.2845851,0.1502201,0.4208497,0.4807249,22.02141,0.3852556,-1,7.531242,BFA_N1994X,0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947
0,1,BFA,Burkina Faso,XX,N,1987,1994.25,X,222.242,0.9918973,39.69775,0.6274043,0.2555073,0.1298779,0.3706603,0.4807249,23.81219,0.3852556,-1,8.140073,BFA_N1994X,0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947
0,1,BFA,Burkina Faso,XX,N,1990,1994.25,X,222.242,0.9918973,39.39562,0.6301735,0.2583465,0.1318045,0.3754624,0.4807249,23.63096,0.3852556,-1,8.811034,BFA_N1994X,0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947
0,1,BFA,Burkina Faso,XX,N,1993,1994.25,X,222.242,0.9918973,41.10095,0.6100731,0.242653,0.1212976,0.3491542,0.4807249,24.65388,0.3852556,-1,9.552476,BFA_N1994X,0.02246,0.03285,0.03968,0.04696,0.05497,0.06543,0.08115,0.1065,0.1554,0.3947
1,1,BFA,Burkina Faso,XX,N,1996,,X,222.242,0.9918973,45.41304,0.561696,0.2084177,0.1014282,0.2982362,-1,-1,-1,-1,10.372745,BFA_N1994X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
